Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
College of Arts and Sciences,Alexandria,College of Natural Science,Scholarship,10843,2015-07-01,Environmental Biology/Microbiology,3186,VA
College of Agriculture and Natural Resources,Charleston,College of Agriculture and Natural Resources,Scholarship,13063,2015-12-22,Environmental Studies and Agriscience,3187,SC
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,13753,2015-12-12,Arabic,3188,CA
Diversity Fund,San Diego,College of Social Science,Endowment,2049,2015-10-15,Interdisciplinary Studies in Social Science - Social Science Education,3189,CA
University Annual Fund,Phoenix,College of Agriculture and Natural Resources,Endowment,8465,2015-06-26,Entomology,3190,AZ
College of Business,Denver,College of Arts and Sciences,Scholarship,11098.5,2015-06-16,Art Education,3191,CO
College of Business,Boston,College of Business,Scholarship,11999,2015-01-09,Finance,3192,MA
Athletics,Orlando,College of Natural Science,Campus Resource,3606,2015-10-18,Plant Biology,3193,FL
Campus Recreation,Spokane,College of Agriculture and Natural Resources,Campus Resource,15069,2015-08-04,Fisheries and Wildlife,3194,WA
Trustees Fund,Alexandria,College of Engineering,Endowment,9569,2015-08-16,Mechanical Engineering,3195,VA
Diversity Fund,Savannah,College of Arts and Sciences,Endowment,728,2015-12-08,Theatre,3196,GA
Faculty Chair Endowments,Chicago,College of Political Science,Endowment,1995,2015-12-19,College of Political Science,3197,IL
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,9577,2015-05-02,Art Education,3198,CA
College of Social Science,Richmond,College of Music,Scholarship,12246,2015-06-04,Jazz Studies,3199,VA
College of Natural Science,Lansing,College of Arts and Sciences,Scholarship,6612,2015-08-14,Japanese,3200,MI
College of Natural Science,Salem,College of Arts and Sciences,Scholarship,9512,2015-07-28,Apparel and Textile Design,3201,OR
Diversity Fund,Tucson,College of Social Science,Endowment,1321,2015-09-09,Geographic Information Science,3202,AZ
Campus Museums,Dallas,College of Natural Science,Campus Resource,12204,2015-08-26,Environmental Biology/Zoology,3203,TX
College of Natural Science,Chicago,College of Arts and Sciences,Scholarship,10250,2015-04-16,Professional Writing,3204,IL
Honors Program,Los Angeles,College of Engineering,Campus Resource,4462,2015-04-11,Mechanical Engineering,3205,CA
College of Education,Chicago,College of Natural Science,Scholarship,14578,2015-12-25,Plant Biology,3206,IL
Honors Program,Denver,College of Agriculture and Natural Resources,Campus Resource,10951.5,2015-03-22,Horticulture,3207,CO
College of Social Science,Denver,College of Social Science,Scholarship,8580,2015-07-28,History Education,3208,CO
College of Natural Science,Cincinnati,College of Veterinary Medicine,Scholarship,13049,2015-04-18,Preveterinary,3209,OH
College of Education,Richmond,College of Engineering,Scholarship,11639,2015-09-15,Applied Engineering Sciences,3210,VA
Trustees Fund,Phoenix,College of Natural Science,Endowment,6486,2015-02-18,Environmental Biology/Zoology,3211,AZ
University Annual Fund,Orlando,College of Natural Science,Endowment,11421,2015-06-21,Environmental Biology/Plant Biol,3212,FL
University Libraries,Austin,College of Natural Science,Campus Resource,1885,2015-06-16,Biomedical Laboratory Science,3213,TX
University Libraries,Dallas,College of Social Science,Campus Resource,1378,2015-02-16,Political Science-Prelaw,3214,TX
College of Arts and Sciences,Kansas City,College of Social Science,Scholarship,3139,2015-07-16,World Politics,3215,MO
College of Communication Arts and Sciences,Denver,College of Natural Science,Scholarship,20353.5,2015-12-05,Statistics,3216,CO
University Annual Fund,Springfield,College of Nursing,Endowment,6076,2015-06-05,Nursing,3217,AR
Trustees Fund,New York,College of Natural Science,Endowment,9613,2015-01-06,Biological Science Interdepartmental,3218,NY
Campus Museums,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,14552,2015-10-18,Natural Resource Recreation and Tourism,3219,CA
University Annual Fund,Philadelphia,College of Natural Science,Endowment,412,2015-11-26,Computational Mathematics,3220,PA
College of Communication Arts and Sciences,Winston-salem,College of Arts and Sciences,Scholarship,7579,2015-09-19,Chinese,3221,NC
College of Agriculture and Natural Resources,Omaha,College of Natural Science,Scholarship,2209,2015-07-20,Geological Sciences,3222,NE
Faculty Chair Endowments,San Diego,College of Arts and Sciences,Endowment,1077,2015-09-11,Russian,3223,CA
College of Communication Arts and Sciences,Los Angeles,College of Social Science,Scholarship,15125,2015-08-03,Anthropology,3224,CA
College of Natural Science,Atlanta,College of Engineering,Scholarship,5096,2015-02-28,Mechanical Engineering,3225,GA
College of Natural Science,Louisville,College of Arts and Sciences,Scholarship,7420,2015-07-18,English,3226,KY
University Annual Fund,Houston,College of Social Science,Endowment,7169,2015-01-08,History,3227,TX
College of Natural Science,Washington,College of Agriculture and Natural Resources,Scholarship,478,2015-10-28,Environmental Studies and Agriscience,3228,DC
Trustees Fund,Dallas,College of Arts and Sciences,Endowment,11634,2015-03-04,Arabic,3229,TX
Campus Museums,Los Angeles,College of Natural Science,Campus Resource,4942,2015-04-25,Chemistry,3230,CA
Faculty Chair Endowments,New York,College of Agriculture and Natural Resources,Endowment,4672,2015-06-27,Environmental Studies and Agriscience,3231,NY
Campus Recreation,Pittsburgh,College of Natural Science,Campus Resource,43,2015-05-07,Environmental Biology/Zoology,3232,PA
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,7628,2015-06-15,Agriculture and Natural Resources-No Preference,3233,VA
College of Social Science,Dallas,College of Social Science,Scholarship,15357,2015-06-24,World Politics,3234,TX
Trustees Fund,Phoenix,College of Arts and Sciences,Endowment,10275,2015-03-20,French,3235,AZ
Diversity Fund,St. Paul,College of Natural Science,Endowment,1047,2015-10-23,Zoology,3236,MN
University Libraries,Houston,College of Social Science,Campus Resource,15222,2015-08-15,Interdisciplinary Studies in Social Science,3237,TX
Diversity Fund,Providence,College of Agriculture and Natural Resources,Endowment,15293,2015-05-21,Entomology,3238,RI
University Annual Fund,Orlando,College of Arts and Sciences,Endowment,3459,2015-11-03,English,3239,FL
Trustees Fund,Mesa,College of Social Science,Endowment,4065,2015-02-21,Interdisciplinary Studies in Social Science,3240,AZ
University Libraries,Reno,College of Social Science,Campus Resource,7392,2015-04-13,Sociology,3241,NV
Faculty Chair Endowments,Minneapolis,College of Agriculture and Natural Resources,Endowment,9463,2015-02-02,Interior Design,3242,MN
Parents Association,Knoxville,College of Arts and Sciences,Campus Resource,1316,2015-11-27,Spanish,3243,TN
College of Social Science,Houston,College of Education,Scholarship,9124,2015-10-07,Special Education-Learning Disabilities,3244,TX
Diversity Fund,Miami,College of Business,Endowment,3964,2015-07-22,Marketing,3245,FL
College of Natural Science,Cincinnati,College of Communication Arts and Sciences,Scholarship,10830,2015-06-05,Advertising,3246,OH
Alumni Association,San Francisco,College of Natural Science,Campus Resource,8333,2015-04-19,Human Biology,3247,CA
College of Music,Atlanta,College of Agriculture and Natural Resources,Scholarship,827,2015-06-14,Food Science,3248,GA
Trustees Fund,Naperville,College of Natural Science,Endowment,8670,2015-07-03,Genomics & Molecular Genetics,3249,IL
Parents Association,Phoenix,College of Natural Science,Campus Resource,7814,2015-05-24,Environmental Biology/Plant Biol,3250,AZ
Trustees Fund,Denver,College of Natural Science,Endowment,5088,2015-03-31,Environmental Biology/Plant Biol,3251,CO
Campus Recreation,Huntsville,College of Social Science,Campus Resource,1248,2015-07-26,Public Policy,3252,AL
Trustees Fund,Houston,College of Natural Science,Endowment,4933,2015-09-04,Predental,3253,TX
College of Arts and Sciences,Oklahoma City,College of Arts and Sciences,Scholarship,3752,2015-09-26,Apparel and Textile Design,3254,OK
College of Arts and Sciences,Philadelphia,College of Engineering,Scholarship,4111,2015-08-11,Materials Science and Engineering,3255,PA
College of Arts and Sciences,Indianapolis,College of Natural Science,Scholarship,9776,2015-07-27,Biological Science Interdepartmental,3256,IN
Trustees Fund,Las Vegas,College of Natural Science,Endowment,15276,2015-10-21,Human Biology,3257,NV
Campus Museums,Tallahassee,College of Engineering,Campus Resource,7784,2015-12-15,Engineering-No Major,3258,FL
University Annual Fund,Albuquerque,College of Arts and Sciences,Endowment,11369,2015-08-26,Spanish,3259,NM
University Annual Fund,Denver,College of Social Science,Endowment,5523,2015-09-24,Social Work,3260,CO
Honors Program,Chicago,College of Social Science,Campus Resource,2395,2015-12-04,Geographic Information Science,3261,IL
College of Agriculture and Natural Resources,Seattle,College of Engineering,Scholarship,13317,2015-05-16,Computer Science,3262,WA
College of Arts and Sciences,Chicago,College of Social Science,Scholarship,15362,2015-05-17,Urban and Regional Planning,3263,IL
University Libraries,Indianapolis,College of Natural Science,Campus Resource,12085,2015-12-29,Environmental Geosciences,3264,IN
College of Arts and Sciences,St. Paul,College of Natural Science,Scholarship,4488,2015-01-21,Human Biology,3265,MN
College of Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,7063,2015-03-01,Global Studies in the Arts and Humanities,3266,CA
University Annual Fund,Denver,College of Arts and Sciences,Endowment,15300,2015-06-14,Studio Art,3267,CO
College of Communication Arts and Sciences,San Francisco,College of Arts and Sciences,Scholarship,3527,2015-04-10,Apparel and Textile Design,3268,CA
Diversity Fund,Wichita,College of Engineering,Endowment,4618,2015-11-21,Computer Science,3269,KS
Parents Association,Seattle,College of Education,Campus Resource,1590,2015-02-06,Kinesiology,3270,WA
College of Engineering,New York,College of Natural Science,Scholarship,3255,2015-08-16,Preoptometry,3271,NY
Faculty Chair Endowments,Dallas,College of Arts and Sciences,Endowment,1380,2015-01-02,Experience Architecture,3272,TX
College of Arts and Sciences,Providence,College of Social Science,Scholarship,9128,2015-07-13,Interdisciplinary Studies in Social Science - Social Science Education,3273,RI
Trustees Fund,Cleveland,College of Natural Science,Endowment,8502,2015-10-17,Mathematics,3274,OH
In-State Scholarship Fund,Seattle,College of Arts and Sciences,Scholarship,7368,2015-05-08,Arts & Letters-General,3275,WA
College of Arts and Sciences,Washington,College of Social Science,Scholarship,3985,2015-04-07,Human Development and Family Studies,3276,DC
Faculty Chair Endowments,Durham,College of Social Science,Endowment,13548,2015-03-17,Geography,3277,NC
Faculty Chair Endowments,Spokane,College of Agriculture and Natural Resources,Endowment,1133,2015-04-22,Natural Resource Recreation and Tourism,3278,WA
College of Engineering,Houston,College of Natural Science,Scholarship,15052,2015-07-07,Astrophysics,3279,TX
Diversity Fund,San Francisco,College of Veterinary Medicine,Endowment,2268,2015-04-12,Preveterinary,3280,CA
Faculty Chair Endowments,Naperville,College of Communication Arts and Sciences,Endowment,14852,2015-09-15,Journalism,3281,IL
College of Music,Tulsa,College of Natural Science,Scholarship,6028,2015-02-09,Biomedical Laboratory Science,3282,OK
University Annual Fund,Lansing,College of Business,Endowment,5273,2015-06-16,Marketing,3283,MI
Athletics,Phoenix,College of Arts and Sciences,Campus Resource,12022,2015-12-31,French,3284,AZ
In-State Scholarship Fund,Omaha,College of Arts and Sciences,Scholarship,10774,2015-05-19,Spanish,3285,NE
College of Political Science,Wichita,College of Arts and Sciences,Scholarship,13885,2015-05-15,Linguistics,3286,KS
Minority Scholarship Fund,Baton Rouge,College of Arts and Sciences,Scholarship,700,2015-08-03,Japanese,3287,LA
Diversity Fund,Chicago,College of Natural Science,Endowment,2388,2015-12-28,Human Biology,3288,IL
College of Social Science,Memphis,College of Veterinary Medicine,Scholarship,5803,2015-11-06,Preveterinary,3289,TN
College of Social Science,Seattle,College of Business,Scholarship,15024,2015-06-25,General Management,3290,WA
College of Social Science,Washington,College of Social Science,Scholarship,14355,2015-02-12,Anthropology,3291,DC
College of Political Science,Mesa,College of Education,Scholarship,14988,2015-06-20,Kinesiology,3292,AZ
Faculty Chair Endowments,Jacksonville,College of Social Science,Endowment,14915,2015-09-06,Psychology,3293,FL
College of Social Science,Lexington,College of Agriculture and Natural Resources,Scholarship,10970,2015-10-31,Food Science,3294,KY
College of Social Science,Nashville,College of Arts and Sciences,Scholarship,5888,2015-11-16,Spanish,3295,TN
Diversity Fund,Dallas,College of Social Science,Endowment,12055,2015-04-22,Interdisciplinary Studies in Social Science,3296,TX
Minority Scholarship Fund,Orlando,College of Social Science,Scholarship,13473,2015-04-01,Interdisciplinary Studies in Social Science,3297,FL
Diversity Fund,Miami,College of Business,Endowment,12207,2015-12-28,Marketing,3298,FL
Diversity Fund,El Paso,College of Social Science,Endowment,9446,2015-10-07,Anthropology,3299,TX
Parents Association,Boston,College of Social Science,Campus Resource,6672,2015-12-11,Criminal Justice,3300,MA
College of Communication Arts and Sciences,Los Angeles,College of Natural Science,Scholarship,4973,2015-02-10,Microbiology,3301,CA
Faculty Chair Endowments,Lexington,College of Music,Endowment,9319,2015-03-22,Composition,3302,KY
Trustees Fund,Detroit,College of Social Science,Endowment,8264,2015-12-10,Anthropology,3303,MI
Parents Association,Philadelphia,College of Arts and Sciences,Campus Resource,2800,2015-08-23,Arts & Letters-General,3304,PA
College of Communication Arts and Sciences,Columbia,College of Agriculture and Natural Resources,Scholarship,11941,2015-01-19,Interior Design,3305,SC
University Annual Fund,Denver,College of Nursing,Endowment,17574,2015-06-17,Nursing,3306,CO
